"oghg","value"
"c2f6",210954.5
"c6f14",86274.44
"cf4",11593.91
"ch4",4.9160161
"hfc125",226903
"hfc134a",248530.7
"hfc143a",332728.7
"hfc227ea",169185.3
"hfc23",462763.4
"hfc32",347737.5
"hfc43-10",108129.7
"n2o",3.7984462
"sf6",197192.1
