"t","n","value"
3,"rjan57",0.03476842011639
3,"rom",-0.05248996157925
3,"rsaf",1.07015524322584
3,"rsam",0.3706893239643
3,"rsas",0.0515157843661875
3,"rsl",-0.00480495222675
3,"rus",-0.0855710124075
3,"slo",-0.0057894582195
3,"sui",-0.0019049755095
3,"swe",-0.003027070638
3,"tha",0.028070784
3,"tur",-0.04417389
3,"ukr",-0.0112286425545
3,"usa",-0.181676871
3,"vnm",-0.000256897799999999
3,"zaf",0.003070242
4,"arg",0.0664252370604
4,"aus",-0.0141154599169125
4,"aut",-0.003213323892675
4,"bel",-0.001856959900875
4,"bgr",-0.007111217889666
4,"blt",-0.004830591097125
4,"bra",0.337809355972875
4,"can",0.081021399363
4,"chl",-0.0296274174494625
4,"chn",-0.22521270675375
4,"cor",-0.0306585535258125
4,"cro",-0.00518895177975
4,"dnk",0.00039134788743375
4,"egy",0.0019702906003125
4,"esp",-0.023172835552875
4,"fin",-0.006299246057175
4,"fra",-0.04364791525125
4,"gbr",-0.007607089260225
4,"golf57",0.0174693655861877
4,"grc",-0.00036166702780125
4,"hun",0.00266084539734375
4,"idn",0.929762978722875
4,"irl",-0.002544846054525
4,"ita",-0.02382370727625
4,"jpn",-0.050205846427875
4,"meme",-0.000843009402692362
4,"mex",0.026434818865125
4,"mys",-0.036609628266
4,"nde",0.0581833572525
4,"nld",0.00088104741366375
4,"noan",-0.00079002934551
4,"noap",-0.0023633783046
4,"nor",-0.0153836200463063
4,"oeu",-0.0291455875175846
4,"osea",0.124850895071036
4,"pol",-0.0452680243876125
4,"prt",0.000915627348020925
4,"rcam",0.0581046023978104
4,"rcz",-0.006622533141075
4,"rfa",-0.015061545982125
4,"ris",-0.0173810110320747
4,"rjan57",0.0307700518030052
4,"rom",-0.0464536159976363
4,"rsaf",0.947087390254873
4,"rsam",0.328060051708406
4,"rsas",0.0455914691640759
4,"rsl",-0.00425238272067375
4,"rus",-0.0757303459806375
4,"slo",-0.0051236705242575
4,"sui",-0.0016859033259075
4,"swe",-0.00267895751463
4,"tha",0.02484264384
4,"tur",-0.03909389265
4,"ukr",-0.0099373486607325
4,"usa",-0.160784030835
4,"vnm",-0.000227354552999999
4,"zaf",0.00271716417
5,"arg",0.058786334798454
5,"aus",-0.0124921820264676
5,"aut",-0.00284379164501737
5,"bel",-0.00164340951227437
5,"bgr",-0.00629342783235441
5,"blt",-0.00427507312095562
5,"bra",0.298961280035994
5,"can",0.071703938436255
5,"chl",-0.0262202644427743
5,"chn",-0.199313245477069
5,"cor",-0.0271328198703441
5,"cro",-0.00459222232507875
5,"dnk",0.000346342880378869
5,"egy",0.00174370718127656
5,"esp",-0.0205079594642944
5,"fin",-0.00557483276059987
5,"fra",-0.0386284049973562
5,"gbr",-0.00673227399529913
5,"golf57",0.0154603885437761
5,"grc",-0.000320075319604106
5,"hun",0.00235484817664922
5,"idn",0.822840236169744
5,"irl",-0.00225218875825462
5,"ita",-0.0210839809394812
5,"jpn",-0.0444321740886694
5,"meme",-0.000746063321382741
5,"mex",0.0233948146956356
5,"mys",-0.03239952101541
5,"nde",0.0514922711684625
5,"nld",0.000779726961092419
5,"noan",-0.00069917597077635
5,"noap",-0.002091589799571
5,"nor",-0.013614503740981
5,"oeu",-0.0257938449530623
5,"osea",0.110493042137867
5,"pol",-0.0400622015830371
5,"prt",0.000810330202998519
5,"rcam",0.0514225731220622
5,"rcz",-0.00586094182985138
5,"rfa",-0.0133294681941806
5,"ris",-0.0153821947633861
5,"rjan57",0.0272314958456596
5,"rom",-0.0411114501579081
5,"rsaf",0.838172340375562
5,"rsam",0.290333145761939
5,"rsas",0.0403484502102072
5,"rsl",-0.00376335870779627
5,"rus",-0.0670213561928642
5,"slo",-0.00453444841396789
5,"sui",-0.00149202444342814
5,"swe",-0.00237087740044755
5,"tha",0.0219857397984
5,"tur",-0.03459809499525
5,"ukr",-0.00879455356474826
5,"usa",-0.142293867288975
5,"vnm",-0.000201208779404999
5,"zaf",0.00240469029045
6,"arg",0.0520259062966318
6,"aus",-0.0110555810934238
6,"aut",-0.00251675560584038
6,"bel",-0.00145441741836282
6,"bgr",-0.00556968363163365
6,"blt",-0.00378343971204573
6,"bra",0.264580732831855
6,"can",0.0634579855160857
6,"chl",-0.0232049340318553
6,"chn",-0.176392222247206
6,"cor",-0.0240125455852545
6,"cro",-0.00406411675769469
6,"dnk",0.000306513449135299
6,"egy",0.00154318085542976
6,"esp",-0.0181495441259005
6,"fin",-0.00493372699313089
6,"fra",-0.0341861384226603
6,"gbr",-0.00595806248583973
6,"golf57",0.0136824438612419
6,"grc",-0.000283266657849634
6,"hun",0.00208404063633456
6,"idn",0.728213609010224
6,"irl",-0.00199318705105534
6,"ita",-0.0186593231314409
6,"jpn",-0.0393224740684724
6,"meme",-0.000660266039423726
6,"mex",0.0207044110056375
6,"mys",-0.0286735760986379
6,"nde",0.0455706599840893
6,"nld",0.000690058360566791
6,"noan",-0.00061877073413707
6,"noap",-0.00185105697262033
6,"nor",-0.0120488358107682
6,"oeu",-0.0228275527834602
6,"osea",0.097786342292012
6,"pol",-0.0354550484009878
6,"prt",0.000717142229653689
6,"rcam",0.045508977213025
6,"rcz",-0.00518693351941847
6,"rfa",-0.0117965793518499
6,"ris",-0.0136132423655967
6,"rjan57",0.0240998738234087
6,"rom",-0.0363836333897487
6,"rsaf",0.741782521232373
6,"rsam",0.256944833999316
6,"rsas",0.0357083784360334
6,"rsl",-0.0033305724563997
6,"rus",-0.0593139002306848
6,"slo",-0.00401298684636158
6,"sui",-0.0013204416324339
6,"swe",-0.00209822649939608
6,"tha",0.019457379721584
6,"tur",-0.0306193140707963
6,"ukr",-0.00778317990480221
6,"usa",-0.125930072550743
6,"vnm",-0.000178069769773424
6,"zaf",0.00212815090704825
7,"arg",0.0460429270725191
7,"aus",-0.00978418926768006
7,"aut",-0.00222732871116873
7,"bel",-0.0012871594152511
7,"bgr",-0.00492917001399578
7,"blt",-0.00334834414516047
7,"bra",0.234153948556192
7,"can",0.0561603171817358
7,"chl",-0.0205363666181919
7,"chn",-0.156107116688777
7,"cor",-0.0212511028429502
7,"cro",-0.0035967433305598
7,"dnk",0.00027126440248474
7,"egy",0.00136571505705534
7,"esp",-0.016062346551422
7,"fin",-0.00436634838892084
7,"fra",-0.0302547325040543
7,"gbr",-0.00527288529996816
7,"golf57",0.0121089628171991
7,"grc",-0.000250690992196926
7,"hun",0.00184437596315608
7,"idn",0.644469043974048
7,"irl",-0.00176397054018398
7,"ita",-0.0165135009713252
7,"jpn",-0.0348003895505981
7,"meme",-0.000584335444889997
7,"mex",0.0183234037399892
7,"mys",-0.0253761148472945
7,"nde",0.040330034085919
7,"nld",0.00061070164910161
7,"noan",-0.000547612099711307
7,"noap",-0.001638185420769
7,"nor",-0.0106632196925299
7,"oeu",-0.0202023842133622
7,"osea",0.0865409129284306
7,"pol",-0.0313777178348742
7,"prt",0.000634670873243515
7,"rcam",0.0402754448335271
7,"rcz",-0.00459043616468534
7,"rfa",-0.0104399727263871
7,"ris",-0.0120477194935531
7,"rjan57",0.0213283883337167
7,"rom",-0.0321995155499276
7,"rsaf",0.65647753129065
7,"rsam",0.227396178089395
7,"rsas",0.0316019149158895
7,"rsl",-0.00294755662391373
7,"rus",-0.0524928017041561
7,"slo",-0.00355149335903
7,"sui",-0.001168590844704
7,"swe",-0.00185693045196553
7,"tha",0.0172197810536018
7,"tur",-0.0270980929526547
7,"ukr",-0.00688811421574996
7,"usa",-0.111448114207407
7,"vnm",-0.00015759174624948
7,"zaf",0.0018834135527377
8,"arg",0.0407479904591794
8,"aus",-0.00865900750189685
8,"aut",-0.00197118590938433
8,"bel",-0.00113913608249722
8,"bgr",-0.00436231546238627
8,"blt",-0.00296328456846701
8,"bra",0.20722624447223
8,"can",0.0497018807058362
8,"chl",-0.0181746844570998
8,"chn",-0.138154798269568
8,"cor",-0.018807226016011
8,"cro",-0.00318311784754542
8,"dnk",0.000240068996198994
8,"egy",0.00120865782549397
8,"esp",-0.0142151766980084
8,"fin",-0.00386421832419494
8,"fra",-0.0267754382660881
8,"gbr",-0.00466650349047182
8,"golf57",0.0107164320932212
8,"grc",-0.00022186152809428
8,"hun",0.00163227272739313
8,"idn",0.570355103917032
8,"irl",-0.00156111392806282
8,"ita",-0.0146144483596228
8,"jpn",-0.0307983447522793
8,"meme",-0.000517136868727647
8,"mex",0.0162162123098905
8,"mys",-0.0224578616398556
8,"nde",0.0356920801660384
8,"nld",0.000540470959454925
8,"noan",-0.000484636708244506
8,"noap",-0.00144979409738056
8,"nor",-0.00943694942788893
8,"oeu",-0.0178791100288256
8,"osea",0.076588707941661
8,"pol",-0.0277692802838637
8,"prt",0.000561683722820511
8,"rcam",0.0356437686776715
8,"rcz",-0.00406253600574653
8,"rfa",-0.0092393758628526
8,"ris",-0.0106622317517945
8,"rjan57",0.0188756236753393
8,"rom",-0.0284965712616859
8,"rsaf",0.580982615192225
8,"rsam",0.201245617609114
8,"rsas",0.0279676947005622
8,"rsl",-0.00260858761216365
8,"rus",-0.0464561295081781
8,"slo",-0.00314307162274155
8,"sui",-0.00103420289756304
8,"swe",-0.0016433834499895
8,"tha",0.0152395062324376
8,"tur",-0.0239818122630994
8,"ukr",-0.00609598108093871
8,"usa",-0.0986315810735556
8,"vnm",-0.00013946869543079
8,"zaf",0.00166682099417286
9,"arg",0.0360619715563738
9,"aus",-0.00766322163917871
9,"aut",-0.00174449952980513
9,"bel",-0.00100813543301004
