"t","n","value"
4,"ris",-0.0250752472
4,"rjan57",0.0307700518030052
4,"rom",-0.06701773
4,"rsaf",0.947087390254873
4,"rsam",0.328060051708406
4,"rsas",0.0455914691640759
4,"rsl",-0.00613483
4,"rus",-0.1092547
4,"slo",-0.00739182
4,"sui",-0.00243222
4,"swe",-0.00386488
4,"tha",0.02484264384
4,"tur",-0.0564
4,"ukr",-0.01433642
4,"usa",-0.23196
4,"vnm",-0.000327999999999998
4,"zaf",0.00271716417
5,"arg",0.058786334798454
5,"aus",-0.0203641
5,"aut",-0.0046358
5,"bel",-0.002679
5,"bgr",-0.010259216
5,"blt",-0.006969
5,"bra",0.298961280035994
5,"can",0.071703938436255
5,"chl",-0.0427429
5,"chn",-0.32491
5,"cor",-0.0442305
5,"cro",-0.007486
5,"dnk",0.000346342880378869
5,"egy",0.00174370718127656
5,"esp",-0.033431
5,"fin",-0.0090878
5,"fra",-0.06297
5,"gbr",-0.0109746
5,"golf57",0.0154603885437761
5,"grc",-0.00052177
5,"hun",0.00235484817664922
5,"idn",0.822840236169744
5,"irl",-0.0036714
5,"ita",-0.03437
5,"jpn",-0.072431
5,"meme",-0.0012161933
5,"mex",0.0233948146956356
5,"mys",-0.052816
5,"nde",0.0514922711684625
5,"nld",0.000779726961092419
5,"noan",-0.00113976
5,"noap",-0.0034096
5,"nor",-0.02219365
5,"oeu",-0.042047773311
5,"osea",0.110493042137867
5,"pol",-0.0653073
5,"prt",0.000810330202998519
5,"rcam",0.0514225731220622
5,"rcz",-0.0095542
5,"rfa",-0.021729
5,"ris",-0.0250752472
5,"rjan57",0.0272314958456596
5,"rom",-0.06701773
5,"rsaf",0.838172340375562
5,"rsam",0.290333145761939
5,"rsas",0.0403484502102072
5,"rsl",-0.00613483
5,"rus",-0.1092547
5,"slo",-0.00739182
5,"sui",-0.00243222
5,"swe",-0.00386488
5,"tha",0.0219857397984
5,"tur",-0.0564
5,"ukr",-0.01433642
5,"usa",-0.23196
5,"vnm",-0.000327999999999998
5,"zaf",0.00240469029045
6,"arg",0.0520259062966318
6,"aus",-0.0203641
6,"aut",-0.0046358
6,"bel",-0.002679
6,"bgr",-0.010259216
6,"blt",-0.006969
6,"bra",0.264580732831855
6,"can",0.0634579855160857
6,"chl",-0.0427429
6,"chn",-0.32491
6,"cor",-0.0442305
6,"cro",-0.007486
6,"dnk",0.000306513449135299
6,"egy",0.00154318085542976
6,"esp",-0.033431
6,"fin",-0.0090878
6,"fra",-0.06297
6,"gbr",-0.0109746
6,"golf57",0.0136824438612419
6,"grc",-0.00052177
6,"hun",0.00208404063633456
6,"idn",0.728213609010224
6,"irl",-0.0036714
6,"ita",-0.03437
6,"jpn",-0.072431
6,"meme",-0.0012161933
6,"mex",0.0207044110056375
6,"mys",-0.052816
6,"nde",0.0455706599840893
6,"nld",0.000690058360566791
6,"noan",-0.00113976
6,"noap",-0.0034096
6,"nor",-0.02219365
6,"oeu",-0.042047773311
6,"osea",0.097786342292012
6,"pol",-0.0653073
6,"prt",0.000717142229653689
6,"rcam",0.045508977213025
6,"rcz",-0.0095542
6,"rfa",-0.021729
6,"ris",-0.0250752472
6,"rjan57",0.0240998738234087
6,"rom",-0.06701773
6,"rsaf",0.741782521232373
6,"rsam",0.256944833999316
6,"rsas",0.0357083784360334
6,"rsl",-0.00613483
6,"rus",-0.1092547
6,"slo",-0.00739182
6,"sui",-0.00243222
6,"swe",-0.00386488
6,"tha",0.019457379721584
6,"tur",-0.0564
6,"ukr",-0.01433642
6,"usa",-0.23196
6,"vnm",-0.000327999999999998
6,"zaf",0.00212815090704825
7,"arg",0.0460429270725191
7,"aus",-0.0203641
7,"aut",-0.0046358
7,"bel",-0.002679
7,"bgr",-0.010259216
7,"blt",-0.006969
7,"bra",0.234153948556192
7,"can",0.0561603171817358
7,"chl",-0.0427429
7,"chn",-0.32491
7,"cor",-0.0442305
7,"cro",-0.007486
7,"dnk",0.00027126440248474
7,"egy",0.00136571505705534
7,"esp",-0.033431
7,"fin",-0.0090878
7,"fra",-0.06297
7,"gbr",-0.0109746
7,"golf57",0.0121089628171991
7,"grc",-0.00052177
7,"hun",0.00184437596315608
7,"idn",0.644469043974048
7,"irl",-0.0036714
7,"ita",-0.03437
7,"jpn",-0.072431
7,"meme",-0.0012161933
7,"mex",0.0183234037399892
7,"mys",-0.052816
7,"nde",0.040330034085919
7,"nld",0.00061070164910161
7,"noan",-0.00113976
7,"noap",-0.0034096
7,"nor",-0.02219365
7,"oeu",-0.042047773311
7,"osea",0.0865409129284306
7,"pol",-0.0653073
7,"prt",0.000634670873243515
7,"rcam",0.0402754448335271
7,"rcz",-0.0095542
7,"rfa",-0.021729
7,"ris",-0.0250752472
7,"rjan57",0.0213283883337167
7,"rom",-0.06701773
7,"rsaf",0.65647753129065
7,"rsam",0.227396178089395
7,"rsas",0.0316019149158895
7,"rsl",-0.00613483
7,"rus",-0.1092547
7,"slo",-0.00739182
7,"sui",-0.00243222
7,"swe",-0.00386488
7,"tha",0.0172197810536018
7,"tur",-0.0564
7,"ukr",-0.01433642
7,"usa",-0.23196
7,"vnm",-0.000327999999999998
7,"zaf",0.0018834135527377
8,"arg",0.0407479904591794
8,"aus",-0.0203641
8,"aut",-0.0046358
8,"bel",-0.002679
8,"bgr",-0.010259216
8,"blt",-0.006969
8,"bra",0.20722624447223
8,"can",0.0497018807058362
8,"chl",-0.0427429
8,"chn",-0.32491
8,"cor",-0.0442305
8,"cro",-0.007486
8,"dnk",0.000240068996198994
8,"egy",0.00120865782549397
8,"esp",-0.033431
8,"fin",-0.0090878
8,"fra",-0.06297
8,"gbr",-0.0109746
8,"golf57",0.0107164320932212
8,"grc",-0.00052177
8,"hun",0.00163227272739313
8,"idn",0.570355103917032
8,"irl",-0.0036714
8,"ita",-0.03437
8,"jpn",-0.072431
8,"meme",-0.0012161933
8,"mex",0.0162162123098905
8,"mys",-0.052816
8,"nde",0.0356920801660384
8,"nld",0.000540470959454925
8,"noan",-0.00113976
8,"noap",-0.0034096
8,"nor",-0.02219365
8,"oeu",-0.042047773311
8,"osea",0.076588707941661
8,"pol",-0.0653073
8,"prt",0.000561683722820511
8,"rcam",0.0356437686776715
8,"rcz",-0.0095542
8,"rfa",-0.021729
8,"ris",-0.0250752472
8,"rjan57",0.0188756236753393
8,"rom",-0.06701773
8,"rsaf",0.580982615192225
8,"rsam",0.201245617609114
8,"rsas",0.0279676947005622
8,"rsl",-0.00613483
8,"rus",-0.1092547
8,"slo",-0.00739182
8,"sui",-0.00243222
8,"swe",-0.00386488
8,"tha",0.0152395062324376
8,"tur",-0.0564
8,"ukr",-0.01433642
8,"usa",-0.23196
8,"vnm",-0.000327999999999998
8,"zaf",0.00166682099417286
9,"arg",0.0360619715563738
9,"aus",-0.0203641
9,"aut",-0.0046358
9,"bel",-0.002679
9,"bgr",-0.010259216
9,"blt",-0.006969
9,"bra",0.183395226357923
9,"can",0.043986164424665
9,"chl",-0.0427429
9,"chn",-0.32491
9,"cor",-0.0442305
9,"cro",-0.007486
9,"dnk",0.00021246106163611
9,"egy",0.00106966217556217
9,"esp",-0.033431
9,"fin",-0.0090878
9,"fra",-0.06297
9,"gbr",-0.0109746
9,"golf57",0.00948404240250074
9,"grc",-0.00052177
9,"hun",0.00144456136374292
9,"idn",0.504764266966574
9,"irl",-0.0036714
9,"ita",-0.03437
9,"jpn",-0.072431
9,"meme",-0.0012161933
9,"mex",0.014351347894253
9,"mys",-0.052816
9,"nde",0.0315874909469439
9,"nld",0.000478316799117608
9,"noan",-0.00113976
9,"noap",-0.0034096
9,"nor",-0.02219365
9,"oeu",-0.042047773311
9,"osea",0.06778100652837
9,"pol",-0.0653073
9,"prt",0.000497090094696152
9,"rcam",0.0315447352797393
9,"rcz",-0.0095542
9,"rfa",-0.021729
9,"ris",-0.0250752472
9,"rjan57",0.0167049269526753
9,"rom",-0.06701773
9,"rsaf",0.514169614445119
9,"rsam",0.178102371584066
9,"rsas",0.0247514098099976
9,"rsl",-0.00613483
9,"rus",-0.1092547
9,"slo",-0.00739182
9,"sui",-0.00243222
9,"swe",-0.00386488
9,"tha",0.0134869630157073
9,"tur",-0.0564
9,"ukr",-0.01433642
9,"usa",-0.23196
9,"vnm",-0.000327999999999998
9,"zaf",0.00147513657984299
10,"arg",0.0319148448273908
10,"aus",-0.0203641
10,"aut",-0.0046358
10,"bel",-0.002679
10,"bgr",-0.010259216
10,"blt",-0.006969
10,"bra",0.162304775326762
10,"can",0.0389277555158286
10,"chl",-0.0427429
10,"chn",-0.32491
10,"cor",-0.0442305
10,"cro",-0.007486
10,"dnk",0.000188028039547957
10,"egy",0.000946651025372516
10,"esp",-0.033431
10,"fin",-0.0090878
10,"fra",-0.06297
10,"gbr",-0.0109746
10,"golf57",0.00839337752621315
10,"grc",-0.00052177
10,"hun",0.00127843680691249
10,"idn",0.446716376265418
10,"irl",-0.0036714
10,"ita",-0.03437
10,"jpn",-0.072431
10,"meme",-0.0012161933
10,"mex",0.0127009428864139
10,"mys",-0.052816
10,"nde",0.0279549294880454
10,"nld",0.000423310367219083
10,"noan",-0.00113976
10,"noap",-0.0034096
10,"nor",-0.02219365
10,"oeu",-0.042047773311
10,"osea",0.0599861907776075
10,"pol",-0.0653073
10,"prt",0.000439924733806094
10,"rcam",0.0279170907225693
10,"rcz",-0.0095542
10,"rfa",-0.021729
10,"ris",-0.0250752472
10,"rjan57",0.0147838603531176
10,"rom",-0.06701773
10,"rsaf",0.45504010878393
10,"rsam",0.157620598851898
10,"rsas",0.0219049976818479
10,"rsl",-0.00613483
10,"rus",-0.1092547
10,"slo",-0.00739182
10,"sui",-0.00243222
10,"swe",-0.00386488
10,"tha",0.011935962268901
10,"tur",-0.0564
10,"ukr",-0.01433642
10,"usa",-0.23196
10,"vnm",-0.000327999999999998
10,"zaf",0.00130549587316104
11,"arg",0.0282446376722409
11,"aus",-0.0203641
11,"aut",-0.0046358
11,"bel",-0.002679
11,"bgr",-0.010259216
11,"blt",-0.006969
11,"bra",0.143639726164184
11,"can",0.0344510636315083
11,"chl",-0.0427429
11,"chn",-0.32491
11,"cor",-0.0442305
