"oghg","value"
"cf4",79.73033
"ch4",1.1976748
"hfc125",0.2269963
"hfc134a",1.123718
"hfc143a",0.4120458
"hfc227ea",0.04514634
"hfc23",5.382139
"hfc245fa",26.94853
"hfc32",0.07128026
"hfc43-10",0.002287733
"n2o",1.1977733
"sf6",10.53675
