"ssp","t","n","value"
"ssp1",3,"zaf",56.784
"ssp1",4,"arg",44.611
"ssp1",4,"aus",29.722
"ssp1",4,"aut",9.057
"ssp1",4,"bel",11.931
"ssp1",4,"bgr",6.708
"ssp1",4,"blt",6.336
"ssp1",4,"bra",215.84
"ssp1",4,"can",41.821
"ssp1",4,"chl",19.167
"ssp1",4,"chn",1359.513
"ssp1",4,"cor",50.283
"ssp1",4,"cro",4.225
"ssp1",4,"dnk",6.17
"ssp1",4,"egy",102.468
"ssp1",4,"esp",50.705
"ssp1",4,"fin",5.924
"ssp1",4,"fra",73.551
"ssp1",4,"gbr",70.617
"ssp1",4,"golf57",235.812
"ssp1",4,"grc",11.526
"ssp1",4,"hun",9.631
"ssp1",4,"idn",270.466
"ssp1",4,"irl",5.561
"ssp1",4,"ita",62.696
"ssp1",4,"jpn",122.372
"ssp1",4,"meme",56.726
"ssp1",4,"mex",131.005
"ssp1",4,"mys",35.9
"ssp1",4,"nde",1458.929
"ssp1",4,"nld",18.075
"ssp1",4,"noan",46.833
"ssp1",4,"noap",50.894
"ssp1",4,"nor",6.065
"ssp1",4,"oeu",22.173
"ssp1",4,"osea",234.129
"ssp1",4,"pol",38.314
"ssp1",4,"prt",11.197
"ssp1",4,"rcam",93.338
"ssp1",4,"rcz",11.43
"ssp1",4,"rfa",82.578
"ssp1",4,"ris",96.912
"ssp1",4,"rjan57",18.775
"ssp1",4,"rom",19.717
"ssp1",4,"rsaf",1180.536
"ssp1",4,"rsam",163.998
"ssp1",4,"rsas",509.553
"ssp1",4,"rsl",5.728
"ssp1",4,"rus",137.807
"ssp1",4,"slo",2.16
"ssp1",4,"sui",8.598
"ssp1",4,"swe",11.123
"ssp1",4,"tha",73.6
"ssp1",4,"tur",84.354
"ssp1",4,"ukr",40.691
"ssp1",4,"usa",363.686
"ssp1",4,"vnm",99.299
"ssp1",4,"zaf",58.468
"ssp1",5,"arg",45.095
"ssp1",5,"aus",31.476
"ssp1",5,"aut",9.196
"ssp1",5,"bel",12.225
"ssp1",5,"bgr",6.558
"ssp1",5,"blt",6.181
"ssp1",5,"bra",217.569
"ssp1",5,"can",43.65
"ssp1",5,"chl",19.374
"ssp1",5,"chn",1338.97
"ssp1",5,"cor",50.248
"ssp1",5,"cro",4.167
"ssp1",5,"dnk",6.333
"ssp1",5,"egy",106.094
"ssp1",5,"esp",51.646
"ssp1",5,"fin",6.046
"ssp1",5,"fra",75.658
"ssp1",5,"gbr",72.584
"ssp1",5,"golf57",247.855
"ssp1",5,"grc",11.565
"ssp1",5,"hun",9.545
"ssp1",5,"idn",273.396
"ssp1",5,"irl",5.807
"ssp1",5,"ita",63.035
"ssp1",5,"jpn",120.409
"ssp1",5,"meme",59.603
"ssp1",5,"mex",133.024
"ssp1",5,"mys",37.273
"ssp1",5,"nde",1495.682
"ssp1",5,"nld",18.404
"ssp1",5,"noan",47.003
"ssp1",5,"noap",52.181
"ssp1",5,"nor",6.368
"ssp1",5,"oeu",22.172
"ssp1",5,"osea",238.559
"ssp1",5,"pol",37.928
"ssp1",5,"prt",11.325
"ssp1",5,"rcam",94.381
"ssp1",5,"rcz",11.581
"ssp1",5,"rfa",82.577
"ssp1",5,"ris",96.898
"ssp1",5,"rjan57",19.501
"ssp1",5,"rom",19.187
"ssp1",5,"rsaf",1268.648
"ssp1",5,"rsam",167.217
"ssp1",5,"rsas",527.28
"ssp1",5,"rsl",5.739
"ssp1",5,"rus",136.159
"ssp1",5,"slo",2.187
"ssp1",5,"sui",8.822
"ssp1",5,"swe",11.535
"ssp1",5,"tha",73.528
"ssp1",5,"tur",85.917
"ssp1",5,"ukr",39.839
"ssp1",5,"usa",376.515
"ssp1",5,"vnm",100.092
"ssp1",5,"zaf",59.893
"ssp1",6,"arg",45.367
"ssp1",6,"aus",33.215
"ssp1",6,"aut",9.323
"ssp1",6,"bel",12.516
"ssp1",6,"bgr",6.42
"ssp1",6,"blt",6.035
"ssp1",6,"bra",217.973
"ssp1",6,"can",45.444
"ssp1",6,"chl",19.465
"ssp1",6,"chn",1308.94
"ssp1",6,"cor",49.904
"ssp1",6,"cro",4.105
"ssp1",6,"dnk",6.488
"ssp1",6,"egy",109.119
"ssp1",6,"esp",52.661
"ssp1",6,"fin",6.161
"ssp1",6,"fra",77.71
"ssp1",6,"gbr",74.531
"ssp1",6,"golf57",258.666
"ssp1",6,"grc",11.609
"ssp1",6,"hun",9.458
"ssp1",6,"idn",274.521
"ssp1",6,"irl",6.056
"ssp1",6,"ita",63.349
"ssp1",6,"jpn",118.294
"ssp1",6,"meme",62.111
"ssp1",6,"mex",134.126
"ssp1",6,"mys",38.399
"ssp1",6,"nde",1523.66
"ssp1",6,"nld",18.691
"ssp1",6,"noan",46.914
"ssp1",6,"noap",53.248
"ssp1",6,"nor",6.665
"ssp1",6,"oeu",22.131
"ssp1",6,"osea",241.282
"ssp1",6,"pol",37.468
"ssp1",6,"prt",11.448
"ssp1",6,"rcam",94.806
"ssp1",6,"rcz",11.737
"ssp1",6,"rfa",82.544
"ssp1",6,"ris",96.463
"ssp1",6,"rjan57",20.098
"ssp1",6,"rom",18.627
"ssp1",6,"rsaf",1351.752
"ssp1",6,"rsam",169.326
"ssp1",6,"rsas",541.536
"ssp1",6,"rsl",5.737
"ssp1",6,"rus",134.63
"ssp1",6,"slo",2.216
"ssp1",6,"sui",9.037
"ssp1",6,"swe",11.96
"ssp1",6,"tha",72.937
"ssp1",6,"tur",86.99
"ssp1",6,"ukr",39.074
"ssp1",6,"usa",388.801
"ssp1",6,"vnm",100.235
"ssp1",6,"zaf",61.035
"ssp1",7,"arg",45.39
"ssp1",7,"aus",34.931
"ssp1",7,"aut",9.441
"ssp1",7,"bel",12.793
"ssp1",7,"bgr",6.281
"ssp1",7,"blt",5.89
"ssp1",7,"bra",217.119
"ssp1",7,"can",47.224
"ssp1",7,"chl",19.435
"ssp1",7,"chn",1270.383
"ssp1",7,"cor",49.264
"ssp1",7,"cro",4.033
"ssp1",7,"dnk",6.64
"ssp1",7,"egy",111.416
"ssp1",7,"esp",53.595
"ssp1",7,"fin",6.275
"ssp1",7,"fra",79.628
"ssp1",7,"gbr",76.468
"ssp1",7,"golf57",267.613
"ssp1",7,"grc",11.64
"ssp1",7,"hun",9.368
"ssp1",7,"idn",273.772
"ssp1",7,"irl",6.3
"ssp1",7,"ita",63.533
"ssp1",7,"jpn",116.058
"ssp1",7,"meme",64.215
"ssp1",7,"mex",134.28
"ssp1",7,"mys",39.248
"ssp1",7,"nde",1542.224
"ssp1",7,"nld",18.937
"ssp1",7,"noan",46.561
"ssp1",7,"noap",54.018
"ssp1",7,"nor",6.957
"ssp1",7,"oeu",22.025
"ssp1",7,"osea",242.223
"ssp1",7,"pol",36.991
"ssp1",7,"prt",11.55
"ssp1",7,"rcam",94.617
"ssp1",7,"rcz",11.91
"ssp1",7,"rfa",82.458
"ssp1",7,"ris",95.477
"ssp1",7,"rjan57",20.564
"ssp1",7,"rom",18.008
"ssp1",7,"rsaf",1426.855
"ssp1",7,"rsam",170.285
"ssp1",7,"rsas",551.866
"ssp1",7,"rsl",5.731
"ssp1",7,"rus",132.918
"ssp1",7,"slo",2.245
"ssp1",7,"sui",9.241
"ssp1",7,"swe",12.41
"ssp1",7,"tha",71.812
"ssp1",7,"tur",87.477
"ssp1",7,"ukr",38.302
"ssp1",7,"usa",400.246
"ssp1",7,"vnm",99.623
"ssp1",7,"zaf",61.855
"ssp1",8,"arg",45.173
"ssp1",8,"aus",36.592
"ssp1",8,"aut",9.542
"ssp1",8,"bel",13.05
"ssp1",8,"bgr",6.133
"ssp1",8,"blt",5.735
"ssp1",8,"bra",214.893
"ssp1",8,"can",48.969
"ssp1",8,"chl",19.287
"ssp1",8,"chn",1224.524
"ssp1",8,"cor",48.351
"ssp1",8,"cro",3.949
"ssp1",8,"dnk",6.793
"ssp1",8,"egy",112.941
"ssp1",8,"esp",54.31
"ssp1",8,"fin",6.393
"ssp1",8,"fra",81.374
"ssp1",8,"gbr",78.339
"ssp1",8,"golf57",274.265
