"","V1","value"
"1","cf4",79.73033
"2","ch4",1.1976748
"3","hfc125",0.2269963
"4","hfc134a",1.123718
"5","hfc143a",0.4120458
"6","hfc227ea",0.04514634
"7","hfc23",5.382139
"8","hfc245fa",26.94853
"9","hfc32",0.07128026
"10","hfc43-10",0.002287733
"11","n2o",1.1977733
"12","sf6",10.53675
