"","V1","value"
"1","c2f6",210954.5
"2","c6f14",86274.44
"3","cf4",11593.91
"4","ch4",4.9160161
"5","hfc125",226903
"6","hfc134a",248530.7
"7","hfc143a",332728.7
"8","hfc227ea",169185.3
"9","hfc23",462763.4
"10","hfc32",347737.5
"11","hfc43-10",108129.7
"12","n2o",4.9263006
"13","sf6",197192.1
