"","V1","value"
"1","c2f6",0.999993
"2","c6f14",0.9996722
"3","cf4",0.0003881265
"4","ch4",0.8454822
"5","hfc125",0.9635634
"6","hfc134a",0.9242427
"7","hfc143a",0.979892
"8","hfc227ea",0.9677813
"9","hfc23",0.9949044
"10","hfc245fa",0.9138164
"11","hfc32",0.8118958
"12","hfc43-10",0.9346654
"13","n2o",0.9911451
"14","sf6",0.9996715
