"","V1","n","V3","value"
"112","COACCH_NoSLR","cor","p05",0.370136
"113","COACCH_NoSLR","cor","p16",0.610343
"114","COACCH_NoSLR","cor","p25",0.769151
"115","COACCH_NoSLR","cor","p33",0.845473
"116","COACCH_NoSLR","cor","p50",1
"117","COACCH_NoSLR","cor","p67",1.260006
"118","COACCH_NoSLR","cor","p75",1.353221
"119","COACCH_NoSLR","cor","p84",1.656926
"120","COACCH_NoSLR","cor","p95",2.096553
"121","COACCH_NoSLR","cor","p975",2.203359
"122","COACCH_NoSLR","cro","p025",0.197078
"123","COACCH_NoSLR","cro","p05",0.313185
"124","COACCH_NoSLR","cro","p16",0.591004
"125","COACCH_NoSLR","cro","p25",0.734032
"126","COACCH_NoSLR","cro","p33",0.812784
"127","COACCH_NoSLR","cro","p50",1.000001
"128","COACCH_NoSLR","cro","p67",1.282261
"129","COACCH_NoSLR","cro","p75",1.405976
"130","COACCH_NoSLR","cro","p84",1.593983
"131","COACCH_NoSLR","cro","p95",2.435398
"132","COACCH_NoSLR","cro","p975",2.643728
"133","COACCH_NoSLR","dnk","p025",0.197078
"134","COACCH_NoSLR","dnk","p05",0.313185
"135","COACCH_NoSLR","dnk","p16",0.591004
"136","COACCH_NoSLR","dnk","p25",0.734032
"137","COACCH_NoSLR","dnk","p33",0.812784
"138","COACCH_NoSLR","dnk","p50",1.000001
"139","COACCH_NoSLR","dnk","p67",1.282261
"140","COACCH_NoSLR","dnk","p75",1.405976
"141","COACCH_NoSLR","dnk","p84",1.593983
"142","COACCH_NoSLR","dnk","p95",2.435398
"143","COACCH_NoSLR","dnk","p975",2.643728
"144","COACCH_NoSLR","egy","p025",-0.388917
"145","COACCH_NoSLR","egy","p05",-0.176063
"146","COACCH_NoSLR","egy","p16",0.380158
"147","COACCH_NoSLR","egy","p25",0.56864
"148","COACCH_NoSLR","egy","p33",0.743779
"149","COACCH_NoSLR","egy","p50",1
"150","COACCH_NoSLR","egy","p67",1.385511
"151","COACCH_NoSLR","egy","p75",1.655662
"152","COACCH_NoSLR","egy","p84",2.022237
"153","COACCH_NoSLR","egy","p95",2.510907
"154","COACCH_NoSLR","egy","p975",2.653428
"155","COACCH_NoSLR","esp","p025",0.197078
"156","COACCH_NoSLR","esp","p05",0.313185
"157","COACCH_NoSLR","esp","p16",0.591004
"158","COACCH_NoSLR","esp","p25",0.734032
"159","COACCH_NoSLR","esp","p33",0.812784
"160","COACCH_NoSLR","esp","p50",1.000001
"161","COACCH_NoSLR","esp","p67",1.282261
"162","COACCH_NoSLR","esp","p75",1.405976
"163","COACCH_NoSLR","esp","p84",1.593983
"164","COACCH_NoSLR","esp","p95",2.435398
"165","COACCH_NoSLR","esp","p975",2.643728
"166","COACCH_NoSLR","fin","p025",0.197078
"167","COACCH_NoSLR","fin","p05",0.313185
"168","COACCH_NoSLR","fin","p16",0.591004
"169","COACCH_NoSLR","fin","p25",0.734032
"170","COACCH_NoSLR","fin","p33",0.812784
"171","COACCH_NoSLR","fin","p50",1.000001
"172","COACCH_NoSLR","fin","p67",1.282261
"173","COACCH_NoSLR","fin","p75",1.405976
"174","COACCH_NoSLR","fin","p84",1.593983
"175","COACCH_NoSLR","fin","p95",2.435398
"176","COACCH_NoSLR","fin","p975",2.643728
"177","COACCH_NoSLR","fra","p025",0.197078
"178","COACCH_NoSLR","fra","p05",0.313185
"179","COACCH_NoSLR","fra","p16",0.591004
"180","COACCH_NoSLR","fra","p25",0.734032
"181","COACCH_NoSLR","fra","p33",0.812784
"182","COACCH_NoSLR","fra","p50",1.000001
"183","COACCH_NoSLR","fra","p67",1.282261
"184","COACCH_NoSLR","fra","p75",1.405976
"185","COACCH_NoSLR","fra","p84",1.593983
"186","COACCH_NoSLR","fra","p95",2.435398
"187","COACCH_NoSLR","fra","p975",2.643728
"188","COACCH_NoSLR","gbr","p025",0.197078
"189","COACCH_NoSLR","gbr","p05",0.313185
"190","COACCH_NoSLR","gbr","p16",0.591004
"191","COACCH_NoSLR","gbr","p25",0.734032
"192","COACCH_NoSLR","gbr","p33",0.812784
"193","COACCH_NoSLR","gbr","p50",1.000001
"194","COACCH_NoSLR","gbr","p67",1.282261
"195","COACCH_NoSLR","gbr","p75",1.405976
"196","COACCH_NoSLR","gbr","p84",1.593983
"197","COACCH_NoSLR","gbr","p95",2.435398
"198","COACCH_NoSLR","gbr","p975",2.643728
"199","COACCH_NoSLR","golf57","p025",-0.388917
"200","COACCH_NoSLR","golf57","p05",-0.176063
"201","COACCH_NoSLR","golf57","p16",0.380158
"202","COACCH_NoSLR","golf57","p25",0.56864
"203","COACCH_NoSLR","golf57","p33",0.743779
"204","COACCH_NoSLR","golf57","p50",1
"205","COACCH_NoSLR","golf57","p67",1.385511
"206","COACCH_NoSLR","golf57","p75",1.655662
"207","COACCH_NoSLR","golf57","p84",2.022237
"208","COACCH_NoSLR","golf57","p95",2.510907
"209","COACCH_NoSLR","golf57","p975",2.653428
"210","COACCH_NoSLR","grc","p025",0.197078
"211","COACCH_NoSLR","grc","p05",0.313185
"212","COACCH_NoSLR","grc","p16",0.591004
"213","COACCH_NoSLR","grc","p25",0.734032
"214","COACCH_NoSLR","grc","p33",0.812784
"215","COACCH_NoSLR","grc","p50",1.000001
"216","COACCH_NoSLR","grc","p67",1.282261
"217","COACCH_NoSLR","grc","p75",1.405976
"218","COACCH_NoSLR","grc","p84",1.593983
"219","COACCH_NoSLR","grc","p95",2.435398
"220","COACCH_NoSLR","grc","p975",2.643728
"221","COACCH_NoSLR","hun","p025",0.197078
"222","COACCH_NoSLR","hun","p05",0.313185
"223","COACCH_NoSLR","hun","p16",0.591004
