"","V1","n","V3","value"
"549","COACCH_NoSLR","sui","p95",2.435398
"550","COACCH_NoSLR","sui","p975",2.643728
"551","COACCH_NoSLR","swe","p025",0.197078
"552","COACCH_NoSLR","swe","p05",0.313185
"553","COACCH_NoSLR","swe","p16",0.591004
"554","COACCH_NoSLR","swe","p25",0.734032
"555","COACCH_NoSLR","swe","p33",0.812784
"556","COACCH_NoSLR","swe","p50",1.000001
"557","COACCH_NoSLR","swe","p67",1.282261
"558","COACCH_NoSLR","swe","p75",1.405976
"559","COACCH_NoSLR","swe","p84",1.593983
"560","COACCH_NoSLR","swe","p95",2.435398
"561","COACCH_NoSLR","swe","p975",2.643728
"562","COACCH_NoSLR","tha","p025",-0.53761
"563","COACCH_NoSLR","tha","p05",-0.25306
"564","COACCH_NoSLR","tha","p16",0.390274
"565","COACCH_NoSLR","tha","p25",0.500113
"566","COACCH_NoSLR","tha","p33",0.650534
"567","COACCH_NoSLR","tha","p50",1
"568","COACCH_NoSLR","tha","p67",1.248998
"569","COACCH_NoSLR","tha","p75",1.387464
"570","COACCH_NoSLR","tha","p84",1.696127
"571","COACCH_NoSLR","tha","p95",1.964056
"572","COACCH_NoSLR","tha","p975",2.096894
"573","COACCH_NoSLR","tur","p025",0.052205
"574","COACCH_NoSLR","tur","p05",0.106302
"575","COACCH_NoSLR","tur","p16",0.365091
"576","COACCH_NoSLR","tur","p25",0.567338
"577","COACCH_NoSLR","tur","p33",0.678556
"578","COACCH_NoSLR","tur","p50",1
"579","COACCH_NoSLR","tur","p67",1.311508
"580","COACCH_NoSLR","tur","p75",1.544712
"581","COACCH_NoSLR","tur","p84",1.739935
"582","COACCH_NoSLR","tur","p95",2.174356
"583","COACCH_NoSLR","tur","p975",2.292899
"584","COACCH_NoSLR","ukr","p025",0.052205
"585","COACCH_NoSLR","ukr","p05",0.106302
"586","COACCH_NoSLR","ukr","p16",0.365091
"587","COACCH_NoSLR","ukr","p25",0.567338
"588","COACCH_NoSLR","ukr","p33",0.678556
"589","COACCH_NoSLR","ukr","p50",1
"590","COACCH_NoSLR","ukr","p67",1.311508
"591","COACCH_NoSLR","ukr","p75",1.544712
"592","COACCH_NoSLR","ukr","p84",1.739935
"593","COACCH_NoSLR","ukr","p95",2.174356
"594","COACCH_NoSLR","ukr","p975",2.292899
"595","COACCH_NoSLR","usa","p025",0.369404
"596","COACCH_NoSLR","usa","p05",0.466966
"597","COACCH_NoSLR","usa","p16",0.687789
"598","COACCH_NoSLR","usa","p25",0.757488
"599","COACCH_NoSLR","usa","p33",0.815875
"600","COACCH_NoSLR","usa","p50",1
"601","COACCH_NoSLR","usa","p67",1.188552
"602","COACCH_NoSLR","usa","p75",1.293608
"603","COACCH_NoSLR","usa","p84",1.476918
"604","COACCH_NoSLR","usa","p95",1.743427
"605","COACCH_NoSLR","usa","p975",1.822954
"606","COACCH_NoSLR","vnm","p025",-0.53761
"607","COACCH_NoSLR","vnm","p05",-0.25306
"608","COACCH_NoSLR","vnm","p16",0.390274
"609","COACCH_NoSLR","vnm","p25",0.500113
"610","COACCH_NoSLR","vnm","p33",0.650534
"611","COACCH_NoSLR","vnm","p50",1
"612","COACCH_NoSLR","vnm","p67",1.248998
"613","COACCH_NoSLR","vnm","p75",1.387464
"614","COACCH_NoSLR","vnm","p84",1.696127
"615","COACCH_NoSLR","vnm","p95",1.964056
"616","COACCH_NoSLR","vnm","p975",2.096894
"617","COACCH_NoSLR","zaf","p025",0.496503
"618","COACCH_NoSLR","zaf","p05",0.546525
"619","COACCH_NoSLR","zaf","p16",0.683787
"620","COACCH_NoSLR","zaf","p25",0.787743
"621","COACCH_NoSLR","zaf","p33",0.855644
"622","COACCH_NoSLR","zaf","p50",1
"623","COACCH_NoSLR","zaf","p67",1.14013
"624","COACCH_NoSLR","zaf","p75",1.199861
"625","COACCH_NoSLR","zaf","p84",1.303645
"626","COACCH_NoSLR","zaf","p95",1.669148
"627","COACCH_NoSLR","zaf","p975",1.83007
"628","COACCH_SLR_Ad","arg","p025",0.503152
"629","COACCH_SLR_Ad","arg","p05",0.5658
"630","COACCH_SLR_Ad","arg","p16",0.698522
"631","COACCH_SLR_Ad","arg","p25",0.81367
"632","COACCH_SLR_Ad","arg","p33",0.831738
"633","COACCH_SLR_Ad","arg","p50",0.999992
"634","COACCH_SLR_Ad","arg","p67",1.220304
"635","COACCH_SLR_Ad","arg","p75",1.306651
"636","COACCH_SLR_Ad","arg","p84",1.484902
"637","COACCH_SLR_Ad","arg","p95",1.842673
"638","COACCH_SLR_Ad","arg","p975",1.955863
"639","COACCH_SLR_Ad","aus","p025",0.432041
"640","COACCH_SLR_Ad","aus","p05",0.595723
"641","COACCH_SLR_Ad","aus","p16",0.826764
"642","COACCH_SLR_Ad","aus","p25",0.878149
"643","COACCH_SLR_Ad","aus","p33",0.93798
"644","COACCH_SLR_Ad","aus","p50",1
"645","COACCH_SLR_Ad","aus","p67",1.139822
"646","COACCH_SLR_Ad","aus","p75",1.166258
"647","COACCH_SLR_Ad","aus","p84",1.273849
"648","COACCH_SLR_Ad","aus","p95",1.480764
"649","COACCH_SLR_Ad","aus","p975",1.564993
"650","COACCH_SLR_Ad","aut","p025",0.229856
"651","COACCH_SLR_Ad","aut","p05",0.233403
"652","COACCH_SLR_Ad","aut","p16",0.269345
"653","COACCH_SLR_Ad","aut","p25",0.286641
"654","COACCH_SLR_Ad","aut","p33",0.333314
"655","COACCH_SLR_Ad","aut","p50",1
"656","COACCH_SLR_Ad","aut","p67",8.987832
"657","COACCH_SLR_Ad","aut","p75",9.443007
"658","COACCH_SLR_Ad","aut","p84",10.300459
"659","COACCH_SLR_Ad","aut","p95",12.242299
"660","COACCH_SLR_Ad","aut","p975",12.429953
"661","COACCH_SLR_Ad","bel","p025",0.229856
"662","COACCH_SLR_Ad","bel","p05",0.233403
"663","COACCH_SLR_Ad","bel","p16",0.269345
"664","COACCH_SLR_Ad","bel","p25",0.286641
"665","COACCH_SLR_Ad","bel","p33",0.333314
"666","COACCH_SLR_Ad","bel","p50",1
"667","COACCH_SLR_Ad","bel","p67",8.987832
"668","COACCH_SLR_Ad","bel","p75",9.443007
"669","COACCH_SLR_Ad","bel","p84",10.300459
"670","COACCH_SLR_Ad","bel","p95",12.242299
"671","COACCH_SLR_Ad","bel","p975",12.429953
"672","COACCH_SLR_Ad","bgr","p025",0.229856
"673","COACCH_SLR_Ad","bgr","p05",0.233403
"674","COACCH_SLR_Ad","bgr","p16",0.269345
"675","COACCH_SLR_Ad","bgr","p25",0.286641
"676","COACCH_SLR_Ad","bgr","p33",0.333314
"677","COACCH_SLR_Ad","bgr","p50",1
"678","COACCH_SLR_Ad","bgr","p67",8.987832
"679","COACCH_SLR_Ad","bgr","p75",9.443007
"680","COACCH_SLR_Ad","bgr","p84",10.300459
"681","COACCH_SLR_Ad","bgr","p95",12.242299
"682","COACCH_SLR_Ad","bgr","p975",12.429953
"683","COACCH_SLR_Ad","blt","p025",0.229856
"684","COACCH_SLR_Ad","blt","p05",0.233403
"685","COACCH_SLR_Ad","blt","p16",0.269345
"686","COACCH_SLR_Ad","blt","p25",0.286641
"687","COACCH_SLR_Ad","blt","p33",0.333314
"688","COACCH_SLR_Ad","blt","p50",1
"689","COACCH_SLR_Ad","blt","p67",8.987832
"690","COACCH_SLR_Ad","blt","p75",9.443007
"691","COACCH_SLR_Ad","blt","p84",10.300459
"692","COACCH_SLR_Ad","blt","p95",12.242299
"693","COACCH_SLR_Ad","blt","p975",12.429953
"694","COACCH_SLR_Ad","bra","p025",0.503152
"695","COACCH_SLR_Ad","bra","p05",0.5658
"696","COACCH_SLR_Ad","bra","p16",0.698522
"697","COACCH_SLR_Ad","bra","p25",0.81367
"698","COACCH_SLR_Ad","bra","p33",0.831738
"699","COACCH_SLR_Ad","bra","p50",0.999992
"700","COACCH_SLR_Ad","bra","p67",1.220304
"701","COACCH_SLR_Ad","bra","p75",1.306651
"702","COACCH_SLR_Ad","bra","p84",1.484902
"703","COACCH_SLR_Ad","bra","p95",1.842673
"704","COACCH_SLR_Ad","bra","p975",1.955863
"705","COACCH_SLR_Ad","can","p025",0.286055
"706","COACCH_SLR_Ad","can","p05",0.415998
"707","COACCH_SLR_Ad","can","p16",0.829224
"708","COACCH_SLR_Ad","can","p25",0.878731
"709","COACCH_SLR_Ad","can","p33",0.926316
"710","COACCH_SLR_Ad","can","p50",1
"711","COACCH_SLR_Ad","can","p67",1.106596
"712","COACCH_SLR_Ad","can","p75",1.149101
"713","COACCH_SLR_Ad","can","p84",1.244243
"714","COACCH_SLR_Ad","can","p95",1.383182
"715","COACCH_SLR_Ad","can","p975",1.483998
"716","COACCH_SLR_Ad","chl","p025",0.503152
"717","COACCH_SLR_Ad","chl","p05",0.5658
"718","COACCH_SLR_Ad","chl","p16",0.698522
"719","COACCH_SLR_Ad","chl","p25",0.81367
"720","COACCH_SLR_Ad","chl","p33",0.831738
"721","COACCH_SLR_Ad","chl","p50",0.999992
"722","COACCH_SLR_Ad","chl","p67",1.220304
"723","COACCH_SLR_Ad","chl","p75",1.306651
"724","COACCH_SLR_Ad","chl","p84",1.484902
"725","COACCH_SLR_Ad","chl","p95",1.842673
"726","COACCH_SLR_Ad","chl","p975",1.955863
"727","COACCH_SLR_Ad","chn","p025",0.650859
"728","COACCH_SLR_Ad","chn","p05",0.663964
"729","COACCH_SLR_Ad","chn","p16",0.749108
"730","COACCH_SLR_Ad","chn","p25",0.811483
"731","COACCH_SLR_Ad","chn","p33",0.87724
"732","COACCH_SLR_Ad","chn","p50",1
"733","COACCH_SLR_Ad","chn","p67",1.223986
"734","COACCH_SLR_Ad","chn","p75",1.280258
"735","COACCH_SLR_Ad","chn","p84",1.528738
"736","COACCH_SLR_Ad","chn","p95",2.12924
"737","COACCH_SLR_Ad","chn","p975",2.369252
"738","COACCH_SLR_Ad","cor","p025",0.302978
"739","COACCH_SLR_Ad","cor","p05",0.363504
"740","COACCH_SLR_Ad","cor","p16",0.713615
"741","COACCH_SLR_Ad","cor","p25",0.851867
"742","COACCH_SLR_Ad","cor","p33",0.904807
"743","COACCH_SLR_Ad","cor","p50",1
"744","COACCH_SLR_Ad","cor","p67",1.061539
"745","COACCH_SLR_Ad","cor","p75",1.142248
"746","COACCH_SLR_Ad","cor","p84",1.195961
"747","COACCH_SLR_Ad","cor","p95",1.339344
"748","COACCH_SLR_Ad","cor","p975",1.35307
"749","COACCH_SLR_Ad","cro","p025",0.229856
"750","COACCH_SLR_Ad","cro","p05",0.233403
"751","COACCH_SLR_Ad","cro","p16",0.269345
"752","COACCH_SLR_Ad","cro","p25",0.286641
"753","COACCH_SLR_Ad","cro","p33",0.333314
"754","COACCH_SLR_Ad","cro","p50",1
"755","COACCH_SLR_Ad","cro","p67",8.987832
"756","COACCH_SLR_Ad","cro","p75",9.443007
"757","COACCH_SLR_Ad","cro","p84",10.300459
"758","COACCH_SLR_Ad","cro","p95",12.242299
"759","COACCH_SLR_Ad","cro","p975",12.429953
"760","COACCH_SLR_Ad","dnk","p025",0.229856
"761","COACCH_SLR_Ad","dnk","p05",0.233403
"762","COACCH_SLR_Ad","dnk","p16",0.269345
"763","COACCH_SLR_Ad","dnk","p25",0.286641
"764","COACCH_SLR_Ad","dnk","p33",0.333314
"765","COACCH_SLR_Ad","dnk","p50",1
"766","COACCH_SLR_Ad","dnk","p67",8.987832
"767","COACCH_SLR_Ad","dnk","p75",9.443007
"768","COACCH_SLR_Ad","dnk","p84",10.300459
"769","COACCH_SLR_Ad","dnk","p95",12.242299
"770","COACCH_SLR_Ad","dnk","p975",12.429953
"771","COACCH_SLR_Ad","egy","p025",0.43546
"772","COACCH_SLR_Ad","egy","p05",0.512979
"773","COACCH_SLR_Ad","egy","p16",0.875564
"774","COACCH_SLR_Ad","egy","p25",0.90053
"775","COACCH_SLR_Ad","egy","p33",0.914685
"776","COACCH_SLR_Ad","egy","p50",1
"777","COACCH_SLR_Ad","egy","p67",1.044897
"778","COACCH_SLR_Ad","egy","p75",1.160969
"779","COACCH_SLR_Ad","egy","p84",1.219967
"780","COACCH_SLR_Ad","egy","p95",1.348905
"781","COACCH_SLR_Ad","egy","p975",1.452841
"782","COACCH_SLR_Ad","esp","p025",0.229856
"783","COACCH_SLR_Ad","esp","p05",0.233403
"784","COACCH_SLR_Ad","esp","p16",0.269345
"785","COACCH_SLR_Ad","esp","p25",0.286641
"786","COACCH_SLR_Ad","esp","p33",0.333314
"787","COACCH_SLR_Ad","esp","p50",1
"788","COACCH_SLR_Ad","esp","p67",8.987832
"789","COACCH_SLR_Ad","esp","p75",9.443007
"790","COACCH_SLR_Ad","esp","p84",10.300459
"791","COACCH_SLR_Ad","esp","p95",12.242299
"792","COACCH_SLR_Ad","esp","p975",12.429953
"793","COACCH_SLR_Ad","fin","p025",0.229856
"794","COACCH_SLR_Ad","fin","p05",0.233403
"795","COACCH_SLR_Ad","fin","p16",0.269345
"796","COACCH_SLR_Ad","fin","p25",0.286641
"797","COACCH_SLR_Ad","fin","p33",0.333314
"798","COACCH_SLR_Ad","fin","p50",1
"799","COACCH_SLR_Ad","fin","p67",8.987832
"800","COACCH_SLR_Ad","fin","p75",9.443007
"801","COACCH_SLR_Ad","fin","p84",10.300459
"802","COACCH_SLR_Ad","fin","p95",12.242299
"803","COACCH_SLR_Ad","fin","p975",12.429953
"804","COACCH_SLR_Ad","fra","p025",0.229856
"805","COACCH_SLR_Ad","fra","p05",0.233403
"806","COACCH_SLR_Ad","fra","p16",0.269345
"807","COACCH_SLR_Ad","fra","p25",0.286641
"808","COACCH_SLR_Ad","fra","p33",0.333314
"809","COACCH_SLR_Ad","fra","p50",1
"810","COACCH_SLR_Ad","fra","p67",8.987832
"811","COACCH_SLR_Ad","fra","p75",9.443007
"812","COACCH_SLR_Ad","fra","p84",10.300459
"813","COACCH_SLR_Ad","fra","p95",12.242299
"814","COACCH_SLR_Ad","fra","p975",12.429953
"815","COACCH_SLR_Ad","gbr","p025",0.229856
"816","COACCH_SLR_Ad","gbr","p05",0.233403
"817","COACCH_SLR_Ad","gbr","p16",0.269345
"818","COACCH_SLR_Ad","gbr","p25",0.286641
"819","COACCH_SLR_Ad","gbr","p33",0.333314
"820","COACCH_SLR_Ad","gbr","p50",1
"821","COACCH_SLR_Ad","gbr","p67",8.987832
"822","COACCH_SLR_Ad","gbr","p75",9.443007
"823","COACCH_SLR_Ad","gbr","p84",10.300459
"824","COACCH_SLR_Ad","gbr","p95",12.242299
"825","COACCH_SLR_Ad","gbr","p975",12.429953
"826","COACCH_SLR_Ad","golf57","p025",0.43546
"827","COACCH_SLR_Ad","golf57","p05",0.512979
"828","COACCH_SLR_Ad","golf57","p16",0.875564
"829","COACCH_SLR_Ad","golf57","p25",0.90053
"830","COACCH_SLR_Ad","golf57","p33",0.914685
"831","COACCH_SLR_Ad","golf57","p50",1
"832","COACCH_SLR_Ad","golf57","p67",1.044897
"833","COACCH_SLR_Ad","golf57","p75",1.160969
"834","COACCH_SLR_Ad","golf57","p84",1.219967
"835","COACCH_SLR_Ad","golf57","p95",1.348905
"836","COACCH_SLR_Ad","golf57","p975",1.452841
"837","COACCH_SLR_Ad","grc","p025",0.229856
"838","COACCH_SLR_Ad","grc","p05",0.233403
"839","COACCH_SLR_Ad","grc","p16",0.269345
"840","COACCH_SLR_Ad","grc","p25",0.286641
"841","COACCH_SLR_Ad","grc","p33",0.333314
"842","COACCH_SLR_Ad","grc","p50",1
"843","COACCH_SLR_Ad","grc","p67",8.987832
"844","COACCH_SLR_Ad","grc","p75",9.443007
"845","COACCH_SLR_Ad","grc","p84",10.300459
"846","COACCH_SLR_Ad","grc","p95",12.242299
"847","COACCH_SLR_Ad","grc","p975",12.429953
"848","COACCH_SLR_Ad","hun","p025",0.229856
"849","COACCH_SLR_Ad","hun","p05",0.233403
"850","COACCH_SLR_Ad","hun","p16",0.269345
"851","COACCH_SLR_Ad","hun","p25",0.286641
"852","COACCH_SLR_Ad","hun","p33",0.333314
"853","COACCH_SLR_Ad","hun","p50",1
"854","COACCH_SLR_Ad","hun","p67",8.987832
"855","COACCH_SLR_Ad","hun","p75",9.443007
"856","COACCH_SLR_Ad","hun","p84",10.300459
"857","COACCH_SLR_Ad","hun","p95",12.242299
"858","COACCH_SLR_Ad","hun","p975",12.429953
"859","COACCH_SLR_Ad","idn","p025",0.475163
"860","COACCH_SLR_Ad","idn","p05",0.523946
"861","COACCH_SLR_Ad","idn","p16",0.881237
"862","COACCH_SLR_Ad","idn","p25",0.907338
"863","COACCH_SLR_Ad","idn","p33",0.925729
"864","COACCH_SLR_Ad","idn","p50",1
"865","COACCH_SLR_Ad","idn","p67",1.058813
"866","COACCH_SLR_Ad","idn","p75",1.119132
"867","COACCH_SLR_Ad","idn","p84",1.199209
"868","COACCH_SLR_Ad","idn","p95",1.322819
"869","COACCH_SLR_Ad","idn","p975",1.416811
"870","COACCH_SLR_Ad","irl","p025",0.229856
"871","COACCH_SLR_Ad","irl","p05",0.233403
"872","COACCH_SLR_Ad","irl","p16",0.269345
"873","COACCH_SLR_Ad","irl","p25",0.286641
"874","COACCH_SLR_Ad","irl","p33",0.333314
"875","COACCH_SLR_Ad","irl","p50",1
"876","COACCH_SLR_Ad","irl","p67",8.987832
"877","COACCH_SLR_Ad","irl","p75",9.443007
"878","COACCH_SLR_Ad","irl","p84",10.300459
"879","COACCH_SLR_Ad","irl","p95",12.242299
"880","COACCH_SLR_Ad","irl","p975",12.429953
"881","COACCH_SLR_Ad","ita","p025",0.229856
"882","COACCH_SLR_Ad","ita","p05",0.233403
"883","COACCH_SLR_Ad","ita","p16",0.269345
"884","COACCH_SLR_Ad","ita","p25",0.286641
"885","COACCH_SLR_Ad","ita","p33",0.333314
"886","COACCH_SLR_Ad","ita","p50",1
"887","COACCH_SLR_Ad","ita","p67",8.987832
"888","COACCH_SLR_Ad","ita","p75",9.443007
"889","COACCH_SLR_Ad","ita","p84",10.300459
"890","COACCH_SLR_Ad","ita","p95",12.242299
"891","COACCH_SLR_Ad","ita","p975",12.429953
"892","COACCH_SLR_Ad","jpn","p025",0.302978
"893","COACCH_SLR_Ad","jpn","p05",0.363504
"894","COACCH_SLR_Ad","jpn","p16",0.713615
"895","COACCH_SLR_Ad","jpn","p25",0.851867
"896","COACCH_SLR_Ad","jpn","p33",0.904807
"897","COACCH_SLR_Ad","jpn","p50",1
"898","COACCH_SLR_Ad","jpn","p67",1.061539
"899","COACCH_SLR_Ad","jpn","p75",1.142248
"900","COACCH_SLR_Ad","jpn","p84",1.195961
"901","COACCH_SLR_Ad","jpn","p95",1.339344
"902","COACCH_SLR_Ad","jpn","p975",1.35307
"903","COACCH_SLR_Ad","meme","p025",0.43546
"904","COACCH_SLR_Ad","meme","p05",0.512979
"905","COACCH_SLR_Ad","meme","p16",0.875564
"906","COACCH_SLR_Ad","meme","p25",0.90053
"907","COACCH_SLR_Ad","meme","p33",0.914685
"908","COACCH_SLR_Ad","meme","p50",1
"909","COACCH_SLR_Ad","meme","p67",1.044897
"910","COACCH_SLR_Ad","meme","p75",1.160969
"911","COACCH_SLR_Ad","meme","p84",1.219967
"912","COACCH_SLR_Ad","meme","p95",1.348905
"913","COACCH_SLR_Ad","meme","p975",1.452841
"914","COACCH_SLR_Ad","mex","p025",0.503152
"915","COACCH_SLR_Ad","mex","p05",0.5658
"916","COACCH_SLR_Ad","mex","p16",0.698522
"917","COACCH_SLR_Ad","mex","p25",0.81367
"918","COACCH_SLR_Ad","mex","p33",0.831738
"919","COACCH_SLR_Ad","mex","p50",0.999992
"920","COACCH_SLR_Ad","mex","p67",1.220304
"921","COACCH_SLR_Ad","mex","p75",1.306651
"922","COACCH_SLR_Ad","mex","p84",1.484902
"923","COACCH_SLR_Ad","mex","p95",1.842673
"924","COACCH_SLR_Ad","mex","p975",1.955863
"925","COACCH_SLR_Ad","mys","p025",0.475163
"926","COACCH_SLR_Ad","mys","p05",0.523946
"927","COACCH_SLR_Ad","mys","p16",0.881237
"928","COACCH_SLR_Ad","mys","p25",0.907338
"929","COACCH_SLR_Ad","mys","p33",0.925729
"930","COACCH_SLR_Ad","mys","p50",1
"931","COACCH_SLR_Ad","mys","p67",1.058813
"932","COACCH_SLR_Ad","mys","p75",1.119132
"933","COACCH_SLR_Ad","mys","p84",1.199209
"934","COACCH_SLR_Ad","mys","p95",1.322819
"935","COACCH_SLR_Ad","mys","p975",1.416811
"936","COACCH_SLR_Ad","nde","p025",0.646632
"937","COACCH_SLR_Ad","nde","p05",0.683704
"938","COACCH_SLR_Ad","nde","p16",0.749399
"939","COACCH_SLR_Ad","nde","p25",0.808301
"940","COACCH_SLR_Ad","nde","p33",0.861514
"941","COACCH_SLR_Ad","nde","p50",1
"942","COACCH_SLR_Ad","nde","p67",1.241485
"943","COACCH_SLR_Ad","nde","p75",1.359728
"944","COACCH_SLR_Ad","nde","p84",1.542325
"945","COACCH_SLR_Ad","nde","p95",2.098609
"946","COACCH_SLR_Ad","nde","p975",2.275329
"947","COACCH_SLR_Ad","nld","p025",0.229856
"948","COACCH_SLR_Ad","nld","p05",0.233403
"949","COACCH_SLR_Ad","nld","p16",0.269345
"950","COACCH_SLR_Ad","nld","p25",0.286641
"951","COACCH_SLR_Ad","nld","p33",0.333314
"952","COACCH_SLR_Ad","nld","p50",1
"953","COACCH_SLR_Ad","nld","p67",8.987832
"954","COACCH_SLR_Ad","nld","p75",9.443007
"955","COACCH_SLR_Ad","nld","p84",10.300459
"956","COACCH_SLR_Ad","nld","p95",12.242299
"957","COACCH_SLR_Ad","nld","p975",12.429953
"958","COACCH_SLR_Ad","noan","p025",0.43546
"959","COACCH_SLR_Ad","noan","p05",0.512979
"960","COACCH_SLR_Ad","noan","p16",0.875564
"961","COACCH_SLR_Ad","noan","p25",0.90053
"962","COACCH_SLR_Ad","noan","p33",0.914685
"963","COACCH_SLR_Ad","noan","p50",1
"964","COACCH_SLR_Ad","noan","p67",1.044897
"965","COACCH_SLR_Ad","noan","p75",1.160969
"966","COACCH_SLR_Ad","noan","p84",1.219967
"967","COACCH_SLR_Ad","noan","p95",1.348905
"968","COACCH_SLR_Ad","noan","p975",1.452841
"969","COACCH_SLR_Ad","noap","p025",0.43546
"970","COACCH_SLR_Ad","noap","p05",0.512979
"971","COACCH_SLR_Ad","noap","p16",0.875564
"972","COACCH_SLR_Ad","noap","p25",0.90053
"973","COACCH_SLR_Ad","noap","p33",0.914685
"974","COACCH_SLR_Ad","noap","p50",1
"975","COACCH_SLR_Ad","noap","p67",1.044897
"976","COACCH_SLR_Ad","noap","p75",1.160969
"977","COACCH_SLR_Ad","noap","p84",1.219967
"978","COACCH_SLR_Ad","noap","p95",1.348905
"979","COACCH_SLR_Ad","noap","p975",1.452841
"980","COACCH_SLR_Ad","nor","p025",0.229856
"981","COACCH_SLR_Ad","nor","p05",0.233403
"982","COACCH_SLR_Ad","nor","p16",0.269345
"983","COACCH_SLR_Ad","nor","p25",0.286641
"984","COACCH_SLR_Ad","nor","p33",0.333314
"985","COACCH_SLR_Ad","nor","p50",1
"986","COACCH_SLR_Ad","nor","p67",8.987832
"987","COACCH_SLR_Ad","nor","p75",9.443007
"988","COACCH_SLR_Ad","nor","p84",10.300459
"989","COACCH_SLR_Ad","nor","p95",12.242299
"990","COACCH_SLR_Ad","nor","p975",12.429953
"991","COACCH_SLR_Ad","oeu","p025",0.229856000000029
"992","COACCH_SLR_Ad","oeu","p05",0.233403000000093
"993","COACCH_SLR_Ad","oeu","p16",0.269345000000284
"994","COACCH_SLR_Ad","oeu","p25",0.286641000000301
"995","COACCH_SLR_Ad","oeu","p33",0.333314000000301
"996","COACCH_SLR_Ad","oeu","p50",1
"997","COACCH_SLR_Ad","oeu","p67",8.987831999996
"998","COACCH_SLR_Ad","oeu","p75",9.44300699999579
"999","COACCH_SLR_Ad","oeu","p84",10.3004589999954
"1000","COACCH_SLR_Ad","oeu","p95",12.2422989999945
"1001","COACCH_SLR_Ad","oeu","p975",12.4299529999944
"1002","COACCH_SLR_Ad","osea","p025",0.583189120036293
"1003","COACCH_SLR_Ad","osea","p05",0.610781886140175
"1004","COACCH_SLR_Ad","osea","p16",0.799663345409936
"1005","COACCH_SLR_Ad","osea","p25",0.848340789690207
"1006","COACCH_SLR_Ad","osea","p33",0.89578501831815
"1007","COACCH_SLR_Ad","osea","p50",0.999999994934546
"1008","COACCH_SLR_Ad","osea","p67",1.16001805193235
"1009","COACCH_SLR_Ad","osea","p75",1.21769802381526
"1010","COACCH_SLR_Ad","osea","p84",1.40141405890377
"1011","COACCH_SLR_Ad","osea","p95",1.81788162901171
"1012","COACCH_SLR_Ad","osea","p975",2.0014309737584
"1013","COACCH_SLR_Ad","pol","p025",0.229856
"1014","COACCH_SLR_Ad","pol","p05",0.233403
"1015","COACCH_SLR_Ad","pol","p16",0.269345
"1016","COACCH_SLR_Ad","pol","p25",0.286641
"1017","COACCH_SLR_Ad","pol","p33",0.333314
"1018","COACCH_SLR_Ad","pol","p50",1
"1019","COACCH_SLR_Ad","pol","p67",8.987832
"1020","COACCH_SLR_Ad","pol","p75",9.443007
"1021","COACCH_SLR_Ad","pol","p84",10.300459
"1022","COACCH_SLR_Ad","pol","p95",12.242299
"1023","COACCH_SLR_Ad","pol","p975",12.429953
"1024","COACCH_SLR_Ad","prt","p025",0.229856
"1025","COACCH_SLR_Ad","prt","p05",0.233403
"1026","COACCH_SLR_Ad","prt","p16",0.269345
"1027","COACCH_SLR_Ad","prt","p25",0.286641
"1028","COACCH_SLR_Ad","prt","p33",0.333314
"1029","COACCH_SLR_Ad","prt","p50",1
"1030","COACCH_SLR_Ad","prt","p67",8.987832
"1031","COACCH_SLR_Ad","prt","p75",9.443007
"1032","COACCH_SLR_Ad","prt","p84",10.300459
"1033","COACCH_SLR_Ad","prt","p95",12.242299
"1034","COACCH_SLR_Ad","prt","p975",12.429953
"1035","COACCH_SLR_Ad","rcam","p025",0.503152
"1036","COACCH_SLR_Ad","rcam","p05",0.5658
"1037","COACCH_SLR_Ad","rcam","p16",0.698522
"1038","COACCH_SLR_Ad","rcam","p25",0.81367
"1039","COACCH_SLR_Ad","rcam","p33",0.831738
"1040","COACCH_SLR_Ad","rcam","p50",0.999992
"1041","COACCH_SLR_Ad","rcam","p67",1.220304
"1042","COACCH_SLR_Ad","rcam","p75",1.306651
"1043","COACCH_SLR_Ad","rcam","p84",1.484902
"1044","COACCH_SLR_Ad","rcam","p95",1.842673
"1045","COACCH_SLR_Ad","rcam","p975",1.955863
"1046","COACCH_SLR_Ad","rcz","p025",0.229856
"1047","COACCH_SLR_Ad","rcz","p05",0.233403
"1048","COACCH_SLR_Ad","rcz","p16",0.269345
"1049","COACCH_SLR_Ad","rcz","p25",0.286641
"1050","COACCH_SLR_Ad","rcz","p33",0.333314
"1051","COACCH_SLR_Ad","rcz","p50",1
"1052","COACCH_SLR_Ad","rcz","p67",8.987832
"1053","COACCH_SLR_Ad","rcz","p75",9.443007
"1054","COACCH_SLR_Ad","rcz","p84",10.300459
"1055","COACCH_SLR_Ad","rcz","p95",12.242299
"1056","COACCH_SLR_Ad","rcz","p975",12.429953
"1057","COACCH_SLR_Ad","rfa","p025",0.229856
"1058","COACCH_SLR_Ad","rfa","p05",0.233403
"1059","COACCH_SLR_Ad","rfa","p16",0.269345
"1060","COACCH_SLR_Ad","rfa","p25",0.286641
"1061","COACCH_SLR_Ad","rfa","p33",0.333314
"1062","COACCH_SLR_Ad","rfa","p50",1
"1063","COACCH_SLR_Ad","rfa","p67",8.987832
"1064","COACCH_SLR_Ad","rfa","p75",9.443007
"1065","COACCH_SLR_Ad","rfa","p84",10.300459
"1066","COACCH_SLR_Ad","rfa","p95",12.242299
